Camera Parameters
Camera Model,daA3840-45uc
FPS (Target),15
FPS (ACTUAL),15.0053
Auto Exposure Mode,Off
Exposure Time,20000
Resolution,1920x1080

Frame,PC Timestamp,Camera Time
117,2024-05-07 12:44:23.426185,37.091843
118,2024-05-07 12:44:23.492551,37.158193
119,2024-05-07 12:44:23.559192,37.224846
120,2024-05-07 12:44:23.625782,37.291511
121,2024-05-07 12:44:23.692452,37.358158
122,2024-05-07 12:44:23.759090,37.424708
123,2024-05-07 12:44:23.826121,37.491735
124,2024-05-07 12:44:23.892415,37.558116
125,2024-05-07 12:44:23.959197,37.624848
126,2024-05-07 12:44:24.025824,37.691515
127,2024-05-07 12:44:24.092417,37.758085
128,2024-05-07 12:44:24.159116,37.824763
129,2024-05-07 12:44:24.226188,37.891841
130,2024-05-07 12:44:24.292383,37.957994
131,2024-05-07 12:44:24.359194,38.024843
132,2024-05-07 12:44:24.425734,38.091402
133,2024-05-07 12:44:24.492453,38.158118
134,2024-05-07 12:44:24.559131,38.224750
135,2024-05-07 12:44:24.625936,38.291648
136,2024-05-07 12:44:24.692396,38.358012
137,2024-05-07 12:44:24.759216,38.424852
138,2024-05-07 12:44:24.825593,38.491312
139,2024-05-07 12:44:24.892413,38.558022
140,2024-05-07 12:44:24.958998,38.624666
141,2024-05-07 12:44:25.025933,38.691617
142,2024-05-07 12:44:25.092287,38.757937
143,2024-05-07 12:44:25.159190,38.824842
144,2024-05-07 12:44:25.225606,38.891291
145,2024-05-07 12:44:25.292456,38.957987
146,2024-05-07 12:44:25.358933,39.024568
147,2024-05-07 12:44:25.426000,39.091635
148,2024-05-07 12:44:25.492293,39.157939
149,2024-05-07 12:44:25.559203,39.224850
150,2024-05-07 12:44:25.625473,39.291181
151,2024-05-07 12:44:25.692287,39.357850
152,2024-05-07 12:44:25.758900,39.424539
153,2024-05-07 12:44:25.825826,39.491504
154,2024-05-07 12:44:25.892182,39.557831
155,2024-05-07 12:44:25.959222,39.624852
156,2024-05-07 12:44:26.025502,39.691185
157,2024-05-07 12:44:26.092232,39.757865
158,2024-05-07 12:44:26.158827,39.824510
159,2024-05-07 12:44:26.225788,39.891479
160,2024-05-07 12:44:26.292177,39.957816
161,2024-05-07 12:44:26.359222,40.024841
162,2024-05-07 12:44:26.425460,40.091147
163,2024-05-07 12:44:26.492226,40.157857
164,2024-05-07 12:44:26.558851,40.224511
165,2024-05-07 12:44:26.625467,40.291145
166,2024-05-07 12:44:26.692167,40.357755
167,2024-05-07 12:44:26.759200,40.424843
168,2024-05-07 12:44:26.825550,40.491176
169,2024-05-07 12:44:26.892198,40.557849
